pH,N,P,K,Crop,Report
7.6,75,60,49,Coconut,"**Soil Deficiency**: pH is 7.6 (optimal 5.5-7.5, too alkaline), N is 75 (optimal 80-100, low), P is 60 (optimal 40-60, adequate), K is 49 (optimal 35-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
5.0,71,40,35,Paddy,"**Soil Deficiency**: pH is 5.0 (optimal 5.5-7.0, too acidic), N is 71 (optimal 70-90, adequate), P is 40 (optimal 30-50, adequate), K is 35 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply lime (500 kg/ha). **Soil Type Context**: Clay/Loam soil, suitable for Paddy. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Level fields; use neem biopesticides for stem borers."
4.9,80,39,63,Cardamom,"**Soil Deficiency**: pH is 4.9 (optimal 5.5-6.5, too acidic), N is 80 (optimal 70-90, adequate), P is 39 (optimal 25-45, adequate), K is 63 (optimal 40-60, high). **Fertilizer Suggestion**: Maintain current levels; reduce K applications.; apply lime (500 kg/ha). **Soil Type Context**: Black soil, suitable for Cardamom. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Ensure high humidity; apply leaf litter mulch."
7.2,76,58,32,Coconut,"**Soil Deficiency**: pH is 7.2 (optimal 5.5-7.5, suitable), N is 76 (optimal 80-100, low), P is 58 (optimal 40-60, adequate), K is 32 (optimal 35-50, low). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; apply potash (15 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
5.6,106,29,50,Cashew,"**Soil Deficiency**: pH is 5.6 (optimal 5.5-6.5, suitable), N is 106 (optimal 70-90, high), P is 29 (optimal 20-40, adequate), K is 50 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers. **Soil Type Context**: Sandy soil, suitable for Cashew. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Prune older branches; apply wood ash (2 kg/tree)."
8.0,96,45,58,Pepper,"**Soil Deficiency**: pH is 8.0 (optimal 5.5-6.5, too alkaline), N is 96 (optimal 60-80, high), P is 45 (optimal 30-50, adequate), K is 58 (optimal 45-65, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial/Black soil, suitable for Pepper. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Provide trellises; apply neem cake (1 kg/vine)."
6.2,96,56,32,Arecanut,"**Soil Deficiency**: pH is 6.2 (optimal 5.5-7.0, suitable), N is 96 (optimal 85-105, adequate), P is 56 (optimal 35-55, high), K is 32 (optimal 40-60, low). **Fertilizer Suggestion**: Maintain current levels; reduce P applications.; apply potash (15 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
7.5,123,33,74,Ginger,"**Soil Deficiency**: pH is 7.5 (optimal 6.0-7.0, too alkaline), N is 123 (optimal 90-110, high), P is 33 (optimal 40-60, low), K is 74 (optimal 50-70, high). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply superphosphate (20 kg/ha).; reduce K applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Sandy Loam soil, suitable for Ginger. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Apply straw mulch; monitor for bacterial wilt."
5.2,80,21,71,Cardamom,"**Soil Deficiency**: pH is 5.2 (optimal 5.5-6.5, too acidic), N is 80 (optimal 70-90, adequate), P is 21 (optimal 25-45, low), K is 71 (optimal 40-60, high). **Fertilizer Suggestion**: Maintain current levels; apply superphosphate (20 kg/ha).; reduce K applications.; apply lime (500 kg/ha). **Soil Type Context**: Black soil, suitable for Cardamom. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Ensure high humidity; apply leaf litter mulch."
6.8,69,58,60,Paddy,"**Soil Deficiency**: pH is 6.8 (optimal 5.5-7.0, suitable), N is 69 (optimal 70-90, low), P is 58 (optimal 30-50, high), K is 60 (optimal 30-50, high). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications.; reduce K applications. **Soil Type Context**: Clay/Loam soil, suitable for Paddy. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Level fields; use neem biopesticides for stem borers."
5.2,65,32,40,Blackgram,"**Soil Deficiency**: pH is 5.2 (optimal 6.0-7.5, too acidic), N is 65 (optimal 50-70, adequate), P is 32 (optimal 25-45, adequate), K is 40 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply lime (500 kg/ha). **Soil Type Context**: Black Cotton soil, suitable for Blackgram. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Rotate with Paddy; use Rhizobium inoculation."
5.3,74,50,26,Paddy,"**Soil Deficiency**: pH is 5.3 (optimal 5.5-7.0, too acidic), N is 74 (optimal 70-90, adequate), P is 50 (optimal 30-50, adequate), K is 26 (optimal 30-50, low). **Fertilizer Suggestion**: Maintain current levels; apply potash (15 kg/ha).; apply lime (500 kg/ha). **Soil Type Context**: Clay/Loam soil, suitable for Paddy. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Level fields; use neem biopesticides for stem borers."
5.1,84,51,68,Cocoa,"**Soil Deficiency**: pH is 5.1 (optimal 6.0-7.0, too acidic), N is 84 (optimal 90-120, low), P is 51 (optimal 30-50, high), K is 68 (optimal 60-80, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications.; apply lime (500 kg/ha). **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
4.4,100,37,55,Paddy,"**Soil Deficiency**: pH is 4.4 (optimal 5.5-7.0, too acidic), N is 100 (optimal 70-90, high), P is 37 (optimal 30-50, adequate), K is 55 (optimal 30-50, high). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce K applications.; apply lime (500 kg/ha). **Soil Type Context**: Clay/Loam soil, suitable for Paddy. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Level fields; use neem biopesticides for stem borers."
6.5,112,51,37,Coconut,"**Soil Deficiency**: pH is 6.5 (optimal 5.5-7.5, suitable), N is 112 (optimal 80-100, high), P is 51 (optimal 40-60, adequate), K is 37 (optimal 35-50, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers. **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
8.0,103,33,58,Coconut,"**Soil Deficiency**: pH is 8.0 (optimal 5.5-7.5, too alkaline), N is 103 (optimal 80-100, high), P is 33 (optimal 40-60, low), K is 58 (optimal 35-50, high). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply superphosphate (20 kg/ha).; reduce K applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
4.2,55,35,32,Groundnut,"**Soil Deficiency**: pH is 4.2 (optimal 6.0-7.0, too acidic), N is 55 (optimal 60-80, low), P is 35 (optimal 20-40, adequate), K is 32 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; apply lime (500 kg/ha). **Soil Type Context**: Sandy soil, suitable for Groundnut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Inoculate with Rhizobium; rotate with Paddy."
5.1,97,69,41,Coconut,"**Soil Deficiency**: pH is 5.1 (optimal 5.5-7.5, too acidic), N is 97 (optimal 80-100, adequate), P is 69 (optimal 40-60, high), K is 41 (optimal 35-50, adequate). **Fertilizer Suggestion**: Maintain current levels; reduce P applications.; apply lime (500 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
6.4,76,53,37,Blackgram,"**Soil Deficiency**: pH is 6.4 (optimal 6.0-7.5, suitable), N is 76 (optimal 50-70, high), P is 53 (optimal 25-45, high), K is 37 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce P applications. **Soil Type Context**: Black Cotton soil, suitable for Blackgram. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Rotate with Paddy; use Rhizobium inoculation."
7.0,105,35,45,Coconut,"**Soil Deficiency**: pH is 7.0 (optimal 5.5-7.5, suitable), N is 105 (optimal 80-100, high), P is 35 (optimal 40-60, low), K is 45 (optimal 35-50, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply superphosphate (20 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
7.9,77,38,42,Pepper,"**Soil Deficiency**: pH is 7.9 (optimal 5.5-6.5, too alkaline), N is 77 (optimal 60-80, adequate), P is 38 (optimal 30-50, adequate), K is 42 (optimal 45-65, low). **Fertilizer Suggestion**: Maintain current levels; apply potash (15 kg/ha).; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial/Black soil, suitable for Pepper. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Provide trellises; apply neem cake (1 kg/vine)."
6.8,118,51,45,Arecanut,"**Soil Deficiency**: pH is 6.8 (optimal 5.5-7.0, suitable), N is 118 (optimal 85-105, high), P is 51 (optimal 35-55, adequate), K is 45 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers. **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
6.0,41,34,55,Blackgram,"**Soil Deficiency**: pH is 6.0 (optimal 6.0-7.5, suitable), N is 41 (optimal 50-70, low), P is 34 (optimal 25-45, adequate), K is 55 (optimal 30-50, high). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce K applications. **Soil Type Context**: Black Cotton soil, suitable for Blackgram. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Rotate with Paddy; use Rhizobium inoculation."
6.6,45,47,59,Blackgram,"**Soil Deficiency**: pH is 6.6 (optimal 6.0-7.5, suitable), N is 45 (optimal 50-70, low), P is 47 (optimal 25-45, high), K is 59 (optimal 30-50, high). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications.; reduce K applications. **Soil Type Context**: Black Cotton soil, suitable for Blackgram. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Rotate with Paddy; use Rhizobium inoculation."
7.1,131,28,64,Coffee,"**Soil Deficiency**: pH is 7.1 (optimal 5.0-6.5, too alkaline), N is 131 (optimal 100-130, high), P is 28 (optimal 20-40, adequate), K is 64 (optimal 50-70, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply sulfur (400 kg/ha). **Soil Type Context**: Red/Black soil, suitable for Coffee. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Maintain shade with silver oak; prune annually."
5.4,103,23,62,Cashew,"**Soil Deficiency**: pH is 5.4 (optimal 5.5-6.5, too acidic), N is 103 (optimal 70-90, high), P is 23 (optimal 20-40, adequate), K is 62 (optimal 40-60, high). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce K applications.; apply lime (500 kg/ha). **Soil Type Context**: Sandy soil, suitable for Cashew. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Prune older branches; apply wood ash (2 kg/tree)."
6.9,80,26,59,Cashew,"**Soil Deficiency**: pH is 6.9 (optimal 5.5-6.5, too alkaline), N is 80 (optimal 70-90, adequate), P is 26 (optimal 20-40, adequate), K is 59 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; apply sulfur (400 kg/ha). **Soil Type Context**: Sandy soil, suitable for Cashew. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Prune older branches; apply wood ash (2 kg/tree)."
6.2,88,41,78,Cocoa,"**Soil Deficiency**: pH is 6.2 (optimal 6.0-7.0, suitable), N is 88 (optimal 90-120, low), P is 41 (optimal 30-50, adequate), K is 78 (optimal 60-80, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha). **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
5.4,81,39,35,Paddy,"**Soil Deficiency**: pH is 5.4 (optimal 5.5-7.0, too acidic), N is 81 (optimal 70-90, adequate), P is 39 (optimal 30-50, adequate), K is 35 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply lime (500 kg/ha). **Soil Type Context**: Clay/Loam soil, suitable for Paddy. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Level fields; use neem biopesticides for stem borers."
8.0,98,63,40,Ginger,"**Soil Deficiency**: pH is 8.0 (optimal 6.0-7.0, too alkaline), N is 98 (optimal 90-110, adequate), P is 63 (optimal 40-60, high), K is 40 (optimal 50-70, low). **Fertilizer Suggestion**: Maintain current levels; reduce P applications.; apply potash (15 kg/ha).; apply sulfur (400 kg/ha). **Soil Type Context**: Sandy Loam soil, suitable for Ginger. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Apply straw mulch; monitor for bacterial wilt."
7.8,67,20,44,Cardamom,"**Soil Deficiency**: pH is 7.8 (optimal 5.5-6.5, too alkaline), N is 67 (optimal 70-90, low), P is 20 (optimal 25-45, low), K is 44 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; apply superphosphate (20 kg/ha).; apply sulfur (400 kg/ha). **Soil Type Context**: Black soil, suitable for Cardamom. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Ensure high humidity; apply leaf litter mulch."
7.9,76,67,52,Coconut,"**Soil Deficiency**: pH is 7.9 (optimal 5.5-7.5, too alkaline), N is 76 (optimal 80-100, low), P is 67 (optimal 40-60, high), K is 52 (optimal 35-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
4.4,130,40,61,Cocoa,"**Soil Deficiency**: pH is 4.4 (optimal 6.0-7.0, too acidic), N is 130 (optimal 90-120, high), P is 40 (optimal 30-50, adequate), K is 61 (optimal 60-80, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply lime (500 kg/ha). **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
6.2,73,26,37,Cashew,"**Soil Deficiency**: pH is 6.2 (optimal 5.5-6.5, suitable), N is 73 (optimal 70-90, adequate), P is 26 (optimal 20-40, adequate), K is 37 (optimal 40-60, low). **Fertilizer Suggestion**: Maintain current levels; apply potash (15 kg/ha). **Soil Type Context**: Sandy soil, suitable for Cashew. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Prune older branches; apply wood ash (2 kg/tree)."
5.3,59,23,40,Blackgram,"**Soil Deficiency**: pH is 5.3 (optimal 6.0-7.5, too acidic), N is 59 (optimal 50-70, adequate), P is 23 (optimal 25-45, low), K is 40 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; apply superphosphate (20 kg/ha).; apply lime (500 kg/ha). **Soil Type Context**: Black Cotton soil, suitable for Blackgram. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Rotate with Paddy; use Rhizobium inoculation."
6.7,102,36,51,Cardamom,"**Soil Deficiency**: pH is 6.7 (optimal 5.5-6.5, too alkaline), N is 102 (optimal 70-90, high), P is 36 (optimal 25-45, adequate), K is 51 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply sulfur (400 kg/ha). **Soil Type Context**: Black soil, suitable for Cardamom. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Ensure high humidity; apply leaf litter mulch."
7.6,83,58,36,Paddy,"**Soil Deficiency**: pH is 7.6 (optimal 5.5-7.0, too alkaline), N is 83 (optimal 70-90, adequate), P is 58 (optimal 30-50, high), K is 36 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; reduce P applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Clay/Loam soil, suitable for Paddy. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Level fields; use neem biopesticides for stem borers."
6.4,91,36,83,Cocoa,"**Soil Deficiency**: pH is 6.4 (optimal 6.0-7.0, suitable), N is 91 (optimal 90-120, high), P is 36 (optimal 30-50, adequate), K is 83 (optimal 60-80, high). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce K applications. **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
7.9,87,32,96,Cocoa,"**Soil Deficiency**: pH is 7.9 (optimal 6.0-7.0, too alkaline), N is 87 (optimal 90-120, low), P is 32 (optimal 30-50, adequate), K is 96 (optimal 60-80, high). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce K applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
4.2,75,63,50,Arecanut,"**Soil Deficiency**: pH is 4.2 (optimal 5.5-7.0, too acidic), N is 75 (optimal 85-105, low), P is 63 (optimal 35-55, high), K is 50 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications.; apply lime (500 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
4.2,72,46,36,Blackgram,"**Soil Deficiency**: pH is 4.2 (optimal 6.0-7.5, too acidic), N is 72 (optimal 50-70, high), P is 46 (optimal 25-45, high), K is 36 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce P applications.; apply lime (500 kg/ha). **Soil Type Context**: Black Cotton soil, suitable for Blackgram. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Rotate with Paddy; use Rhizobium inoculation."
5.7,56,48,44,Cashew,"**Soil Deficiency**: pH is 5.7 (optimal 5.5-6.5, suitable), N is 56 (optimal 70-90, low), P is 48 (optimal 20-40, high), K is 44 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications. **Soil Type Context**: Sandy soil, suitable for Cashew. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Prune older branches; apply wood ash (2 kg/tree)."
7.2,124,60,41,Arecanut,"**Soil Deficiency**: pH is 7.2 (optimal 5.5-7.0, too alkaline), N is 124 (optimal 85-105, high), P is 60 (optimal 35-55, high), K is 41 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce P applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
8.0,136,42,75,Cocoa,"**Soil Deficiency**: pH is 8.0 (optimal 6.0-7.0, too alkaline), N is 136 (optimal 90-120, high), P is 42 (optimal 30-50, adequate), K is 75 (optimal 60-80, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply sulfur (400 kg/ha). **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
5.3,110,38,42,Arecanut,"**Soil Deficiency**: pH is 5.3 (optimal 5.5-7.0, too acidic), N is 110 (optimal 85-105, high), P is 38 (optimal 35-55, adequate), K is 42 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply lime (500 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
5.2,145,16,61,Coffee,"**Soil Deficiency**: pH is 5.2 (optimal 5.0-6.5, suitable), N is 145 (optimal 100-130, high), P is 16 (optimal 20-40, low), K is 61 (optimal 50-70, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply superphosphate (20 kg/ha). **Soil Type Context**: Red/Black soil, suitable for Coffee. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Maintain shade with silver oak; prune annually."
6.8,86,28,39,Groundnut,"**Soil Deficiency**: pH is 6.8 (optimal 6.0-7.0, suitable), N is 86 (optimal 60-80, high), P is 28 (optimal 20-40, adequate), K is 39 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers. **Soil Type Context**: Sandy soil, suitable for Groundnut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Inoculate with Rhizobium; rotate with Paddy."
5.3,78,29,70,Cashew,"**Soil Deficiency**: pH is 5.3 (optimal 5.5-6.5, too acidic), N is 78 (optimal 70-90, adequate), P is 29 (optimal 20-40, adequate), K is 70 (optimal 40-60, high). **Fertilizer Suggestion**: Maintain current levels; reduce K applications.; apply lime (500 kg/ha). **Soil Type Context**: Sandy soil, suitable for Cashew. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Prune older branches; apply wood ash (2 kg/tree)."
5.4,119,45,30,Coconut,"**Soil Deficiency**: pH is 5.4 (optimal 5.5-7.5, too acidic), N is 119 (optimal 80-100, high), P is 45 (optimal 40-60, adequate), K is 30 (optimal 35-50, low). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply potash (15 kg/ha).; apply lime (500 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
